same_state,items,avg_delivery_days,delay_rate,avg_freight,revenue,delay_rate_pct
0.0,70424,15.0385,0.0899,23.6276,9097100.41,8.987
1.0,39773,7.928,0.06,13.4343,4124397.7,5.9965
